rank,gram,byte_value,global_count
1,00,0,41756351
2,01,1,4575848
3,02,2,4233906
4,03,3,3433296
5,04,4,3460448
6,05,5,1904501
7,06,6,5610873
8,07,7,2337234
9,08,8,3006758
10,09,9,1723174
11,0A,10,2370316
12,0B,11,1998018
13,0C,12,2644419
14,0D,13,2168974
15,0E,14,1196803
16,0F,15,2106589
17,10,16,3996975
18,11,17,2634087
19,12,18,3704934
20,13,19,2711016
21,14,20,2120179
22,15,21,1932001
23,16,22,1380836
24,17,23,1852864
25,18,24,1745696
26,19,25,1754527
27,1A,26,1250044
28,1B,27,1974029
29,1C,28,1873417
30,1D,29,1158492
31,1E,30,1418584
32,1F,31,1157903
33,20,32,3800921
34,21,33,2582895
35,22,34,2306444
36,23,35,2290149
37,24,36,2837105
38,25,37,1555627
39,26,38,1531368
40,27,39,1172274
41,28,40,1388249
42,29,41,983912
43,2A,42,1175448
44,2B,43,1165214
45,2C,44,1235576
46,2D,45,1488127
47,2E,46,1525742
48,2F,47,1231608
49,30,48,2952499
50,31,49,2368554
51,32,50,3284577
52,33,51,3212442
53,34,52,1017960
54,35,53,995357
55,36,54,1090813
56,37,55,967340
57,38,56,1634916
58,39,57,1840936
59,3A,58,945885
60,3B,59,2187444
61,3C,60,1337132
62,3D,61,1459805
63,3E,62,1110814
64,3F,63,1031715
65,40,64,2345883
66,41,65,1251645
67,42,66,1021552
68,43,67,1591860
69,44,68,1910377
70,45,69,1979178
71,46,70,1635716
72,47,71,1060016
73,48,72,2455559
74,49,73,1484482
75,4A,74,1182619
76,4B,75,1887769
77,4C,76,1667092
78,4D,77,2298034
79,4E,78,1307492
80,4F,79,1373820
81,50,80,2537740
82,51,81,1787828
83,52,82,1089950
84,53,83,1748699
85,54,84,1077081
86,55,85,2341245
87,56,86,1914291
88,57,87,2485996
89,58,88,998779
90,59,89,1761905
91,5A,90,1655968
92,5B,91,1705314
93,5C,92,1479102
94,5D,93,1601280
95,5E,94,1524870
96,5F,95,1057184
97,60,96,1819053
98,61,97,1502178
99,62,98,1094117
100,63,99,1263304
101,64,100,1357417
102,65,101,1479519
103,66,102,1066679
104,67,103,1183042
105,68,104,1771737
106,69,105,2127914
107,6A,106,1869697
108,6B,107,1408205
109,6C,108,2001636
110,6D,109,1203870
111,6E,110,1782671
112,6F,111,1172522
113,70,112,1255898
114,71,113,1199924
115,72,114,1871654
116,73,115,1382018
117,74,116,2421122
118,75,117,2119549
119,76,118,1298986
120,77,119,962512
121,78,120,964285
122,79,121,1077694
123,7A,122,1172751
124,7B,123,1034132
125,7C,124,1122329
126,7D,125,1525035
127,7E,126,1249545
128,7F,127,887143
129,80,128,2012396
130,81,129,1517540
131,82,130,1305134
132,83,131,2293715
133,84,132,1675508
134,85,133,2115813
135,86,134,1061745
136,87,135,924498
137,88,136,1624426
138,89,137,2086360
139,8A,138,1489600
140,8B,139,3966836
141,8C,140,1369515
142,8D,141,2124079
143,8E,142,1241960
144,8F,143,1173751
145,90,144,1563343
146,91,145,1417404
147,92,146,1453403
148,93,147,1231065
149,94,148,1158039
150,95,149,993148
151,96,150,901529
152,97,151,1355379
153,98,152,1382324
154,99,153,1154667
155,9A,154,919557
156,9B,155,962632
157,9C,156,1158599
158,9D,157,1050552
159,9E,158,891707
160,9F,159,1286122
161,A0,160,1058511
162,A1,161,1520790
163,A2,162,1005837
164,A3,163,933490
165,A4,164,1087711
166,A5,165,859659
167,A6,166,865134
168,A7,167,889696
169,A8,168,894122
170,A9,169,1171318
171,AA,170,866886
172,AB,171,865737
173,AC,172,862631
174,AD,173,1010894
175,AE,174,1019453
176,AF,175,845102
177,B0,176,1118449
178,B1,177,866549
179,B2,178,1107442
180,B3,179,959428
181,B4,180,881735
182,B5,181,937869
183,B6,182,1480309
184,B7,183,1433082
185,B8,184,1285927
186,B9,185,1167882
187,BA,186,1097936
188,BB,187,1192806
189,BC,188,1108708
190,BD,189,909516
191,BE,190,869765
192,BF,191,1214419
193,C0,192,1992885
194,C1,193,1619553
195,C2,194,1057109
196,C3,195,1750338
197,C4,196,1599969
198,C5,197,840366
199,C6,198,1583780
200,C7,199,1673268
201,C8,200,1466503
202,C9,201,944639
203,CA,202,1319155
204,CB,203,886295
205,CC,204,5530063
206,CD,205,1058980
207,CE,206,973662
208,CF,207,1265004
209,D0,208,1021160
210,D1,209,1409227
211,D2,210,898935
212,D3,211,1474294
213,D4,212,879665
214,D5,213,1389460
215,D6,214,939956
216,D7,215,909577
217,D8,216,1108594
218,D9,217,1073027
219,DA,218,880032
220,DB,219,1080140
221,DC,220,1089177
222,DD,221,842535
223,DE,222,971981
224,DF,223,1026056
225,E0,224,1178243
226,E1,225,1041302
227,E2,226,936583
228,E3,227,1512295
229,E4,228,1000381
230,E5,229,830518
231,E6,230,1166653
232,E7,231,870153
233,E8,232,2562548
234,E9,233,1609058
235,EA,234,1074990
236,EB,235,1643332
237,EC,236,1546861
238,ED,237,1009341
239,EE,238,1064129
240,EF,239,967349
241,F0,240,1823255
242,F1,241,1205819
243,F2,242,1722778
244,F3,243,961012
245,F4,244,1490196
246,F5,245,1035842
247,F6,246,944629
248,F7,247,1396863
249,F8,248,1661292
250,F9,249,1074305
251,FA,250,1048859
252,FB,251,1011641
253,FC,252,1746879
254,FD,253,1263783
255,FE,254,1956212
256,FF,255,9224211
