rank,gram,global_count
1,0000,22920475
2,CCCC,4445812
3,FFFF,2090967
4,00FF,507732
5,0100,479115
6,FF00,467250
7,008B,336337
8,0001,305467
9,9090,265694
10,1919,259766
11,4000,244409
12,0200,238500
13,0400,238188
14,0020,223286
15,2000,220092
16,4100,215772
17,2626,205752
18,0083,201718
19,FEFE,196494
20,F0F0,194056
21,1000,190618
22,0101,190459
23,0010,189951
24,00E8,189904
25,FF75,187723
26,4F4F,184403
27,0300,183881
28,0800,179219
29,0074,179173
30,3838,176547
31,0080,171119
32,0606,168649
33,B7B7,167566
34,0202,167534
35,A1A1,166548
36,5050,164909
37,B706,164618
38,06B7,164301
39,0089,162115
40,8B45,161000
41,0050,160298
42,FF8B,160139
43,83C4,159233
44,8C8C,157945
45,0003,156646
46,FEFF,156032
47,0303,154884
48,4424,153156
49,1C1C,153075
50,0002,152910
51,1C06,152548
52,061C,152513
53,0004,151897
54,8E8E,150853
55,0008,149942
56,0C0C,149795
57,0808,148996
58,2020,146849
59,8000,144610
60,008D,143271
61,0600,142558
62,6500,141396
63,0068,140109
64,8080,139185
65,7400,138025
66,F4F4,137287
67,8181,137216
68,4300,137162
69,0069,136917
70,1010,136502
71,6900,136204
72,85C0,135334
73,1B1B,134406
74,6100,134375
75,0040,132616
76,0061,132090
77,6A00,130252
78,8D8D,129947
79,8B8B,129245
80,B8B8,128298
81,0500,128054
82,0C00,126554
83,9292,126105
84,CFCF,125639
85,E8E8,125354
86,2424,123830
87,DCDC,123763
88,C8C8,122282
89,000F,122262
90,0404,121791
91,FF15,121149
92,0075,120829
93,1600,120762
94,006A,120486
95,5000,119954
96,0065,119363
97,5656,119322
98,0006,118799
99,00A1,118502
100,4400,118386
101,8B4D,118025
102,7474,117930
103,9F9F,117907
104,0085,116547
105,5959,116215
106,0033,115442
107,5353,115435
108,6C06,114563
109,066C,114439
110,0081,114317
111,5757,114220
112,D112,113775
113,1248,113736
114,12D1,113727
115,1717,113563
