Id,Class,split,byte_length,truncated,padded,known_byte_count,unknown_byte_count,unknown_byte_ratio,entropy
02IOCvYEy8mjiuAQHax3,6,val,229376,228352,0,168392,60984,0.265869140625,4.953104293188992
03nJaQV6K2ObICUmyWoR,6,train,577536,576512,0,561264,16272,0.028174867021276594,7.95702254851267
05rJTUWYAKNegBk2wE8X,1,train,806912,805888,0,762632,44280,0.05487587246192893,7.064000916412147
0B2RwKm6dq9fjUWDNIOa,9,test,1335296,1334272,0,1334868,428,0.0003205281825153374,6.9797886499395885
0DqUX5rkg3IbMY6BLGCE,1,val,188416,187392,0,183928,4488,0.023819633152173912,6.991854739058979
0EAdHtLDypMcwjTFJziC,2,test,2301952,2300928,0,2294524,7428,0.0032268266236654803,5.696116709652573
0GKzFQ81IYXqUWkmfv26,3,test,2342912,2341888,0,852324,1490588,0.6362116887019231,7.982293588009409
0Hlm4XgE1cQhC6BkMays,2,train,2523136,2522112,0,2511512,11624,0.004606965300324675,5.098899414109088
0IAlcuEiP9G6epb71Oom,2,val,2338816,2337792,0,2326020,12796,0.005471144373905429,5.702816720464441
0KgE6ksUeytoHfl2cT4r,7,train,1245184,1244160,0,10572,1234612,0.9915096885279605,5.009776776576388
0LQSi5wnRZ3muIs6Mx9E,2,train,1205864,1204840,0,1193772,12092,0.010027664811288835,6.19127257335015
0MmZ8j5pn2R3VG9wlxYi,6,train,573440,572416,0,556656,16784,0.029268973214285714,7.9574098925564725
0P6tEopzr2mIhkuOKiCD,2,test,176128,175104,0,156196,19932,0.11316769622093023,6.744625589447585
0QIZ6hemJLErWdFlGnCc,9,train,1323008,1321984,0,1322644,364,0.00027513061145510834,6.997221651712986
0Tw8aQsVxMlZgFDPUm21,8,test,126976,125952,0,118412,8564,0.06744581653225806,7.132075529347105
0X6U3SfcmbuZNodnH9qL,1,val,249856,248832,0,249088,768,0.0030737704918032786,6.494452026445584
0gxJ1YmwFUvnOzoM8N53,2,train,2146304,2145280,0,2137336,8968,0.004178345658396946,4.197557800055806
0hWRb28Umdgj7xcXOwtC,3,test,2347008,2345984,0,854884,1492124,0.6357558218804538,7.977083774635416
0kzRDUmBLHGd4YPj7hO6,3,test,2347008,2345984,0,849764,1497244,0.6379373227530541,7.979662149943251
0qjuDC7Rhx9rHkLlItAp,5,train,720896,719872,0,261748,459148,0.6369129527698864,7.87946585873392
0uZcAvaHLitbWmC1QMXf,2,val,1717496,1716472,0,1702604,14892,0.0086707625519943,5.936392104240479
0xfjbVBPYX1pSt4rdWOe,7,train,1490944,1489920,0,1048560,442384,0.29671402815934067,4.991527345433832
0zr6vIw74DgVSKXiRUY1,8,train,126976,125952,0,117968,9008,0.07094254032258064,7.063955443782531
12TEseaJ4jnbyORqKxhf,1,train,212992,211968,0,186168,26824,0.12593900240384615,6.593509156198634
16gDhwbZTRjLMO9zI5cX,3,train,2355200,2354176,0,803684,1551516,0.6587618885869565,7.992747976915524
17aN50JFZXYrcAk2iCtG,3,train,2342912,2341888,0,853348,1489564,0.6357746257648601,7.982259845781571
17kCoALmxaXpcNzd5KnE,3,train,3125248,3124224,0,805220,2320028,0.7423500471002621,7.993422429193532
18S9URJgMWqua2TZevsh,7,train,1388544,1387520,0,11084,1377460,0.9920175377949852,4.730583024360908
18te652nLyCi3IrZqMOJ,7,train,1462272,1461248,0,11084,1451188,0.9924200148809523,3.7035436161789757
1ARrSUKCbhWeTFyjp4ix,8,val,126976,125952,0,118412,8564,0.06744581653225806,7.075170481117295
1AXVt0D9mSU26fL4iFGc,1,train,253952,252928,0,171744,82208,0.3237147177419355,6.584226942012103
1AhLOsNdHzDPfJrSXmQC,2,test,2588672,2587648,0,2576532,12140,0.0046896632713607595,4.817841169116052
1CWtrEfORZDj7psmnToA,1,train,1810432,1809408,0,1790320,20112,0.011108950791855204,6.68237243615127
1FAxSngsym35phwROGl0,7,train,1462272,1461248,0,11084,1451188,0.9924200148809523,4.255393901688521
1FacC02JPfxSdXeD7MEw,4,train,69632,68608,0,57800,11832,0.169921875,7.897453272203267
1HFt83wrBnSQu7cP2WZy,9,test,1437696,1436672,0,1435576,2120,0.0014745815527065526,5.673667587591783
1IpWLz6eyhVxDAfQMKEd,5,test,757760,756736,0,262692,495068,0.6533308699324324,7.914398719734577
1JiaRhjycfZb8BpmX4TM,8,test,126976,125952,0,117968,9008,0.07094254032258064,6.982513379634845
1KB3Z7gd5aN4Xmx8W0sf,5,train,2404352,2403328,0,265388,2138964,0.8896218191013628,7.852226734422718
