Id,Class,split,image,unknown_ratio,quality,pixel_sha256
02IOCvYEy8mjiuAQHax3,6,val,images/val/class_6/02IOCvYEy8mjiuAQHax3.png,0.265869,normal,449fa795a04cd12eb2b6429a5bfc14cc42beeca5f18a765e99d7f9b670762ade
03nJaQV6K2ObICUmyWoR,6,train,images/train/class_6/03nJaQV6K2ObICUmyWoR.png,0.028175,normal,f56437be982f07ed0333ace04fd2672b404efc74570178adb71e2b9e34fa2485
05rJTUWYAKNegBk2wE8X,1,train,images/train/class_1/05rJTUWYAKNegBk2wE8X.png,0.054876,normal,b6081ff3ff2b5e79a225ec0c3a8f751997837ec8aa4c202341ef7677d70354fc
0B2RwKm6dq9fjUWDNIOa,9,test,images/test/class_9/0B2RwKm6dq9fjUWDNIOa.png,0.000321,normal,1a8c58886733d6647e7cf1ebfa66bc5acdd295b35f256699dcb729ba9c6dd98e
0DqUX5rkg3IbMY6BLGCE,1,val,images/val/class_1/0DqUX5rkg3IbMY6BLGCE.png,0.02382,normal,ce83e6670f7c5a1d9b41e8bad664414b34ab3fcf13e6bec1356f9d71488cd9a6
0EAdHtLDypMcwjTFJziC,2,test,images/test/class_2/0EAdHtLDypMcwjTFJziC.png,0.003227,normal,c1a14b5bcddfe101c01acd3a1837c0bdd5966e5cc308f35df97fe1228a2d9b79
0GKzFQ81IYXqUWkmfv26,3,test,images/test/class_3/0GKzFQ81IYXqUWkmfv26.png,0.636212,caution,7aac0aff857ae27937012d2ee544fba11a0319abd4340a2124cb0c44072375d6
0Hlm4XgE1cQhC6BkMays,2,train,images/train/class_2/0Hlm4XgE1cQhC6BkMays.png,0.004607,normal,3d867a3180286c5a090a34532ec3b2a50d8dc84d1e44f0f5300e4e99a9007765
0IAlcuEiP9G6epb71Oom,2,val,images/val/class_2/0IAlcuEiP9G6epb71Oom.png,0.005471,normal,4ec9eef700f59f3e83d91d5e7b07d851de893f3105f6490683f98055a76e0edd
0KgE6ksUeytoHfl2cT4r,7,train,images/train/class_7/0KgE6ksUeytoHfl2cT4r.png,0.99151,review,523eef8b7e8af8fa110676172c0cee7ed447ac4d645b7d2cd87326b09bac6a3c
0LQSi5wnRZ3muIs6Mx9E,2,train,images/train/class_2/0LQSi5wnRZ3muIs6Mx9E.png,0.010028,normal,0065b9af276ebb18abec4ce5836d5ba4b5a6eb00d0ecb14fbedd249f5bb3f144
0MmZ8j5pn2R3VG9wlxYi,6,train,images/train/class_6/0MmZ8j5pn2R3VG9wlxYi.png,0.029269,normal,53a3fbd84a7692e01c26964dd6f1ebc6ca9a44578df492dc9eb787f772fdadca
0P6tEopzr2mIhkuOKiCD,2,test,images/test/class_2/0P6tEopzr2mIhkuOKiCD.png,0.113168,normal,fd63e6778aee16c5711ad0e31aa05a1d14e52854c2d136914f7f8c32e171eb71
0QIZ6hemJLErWdFlGnCc,9,train,images/train/class_9/0QIZ6hemJLErWdFlGnCc.png,0.000275,normal,7d1b5833bc8f21ea28b314ee2bd64e24370ab9c47625da42e64c31610532b3d6
0Tw8aQsVxMlZgFDPUm21,8,test,images/test/class_8/0Tw8aQsVxMlZgFDPUm21.png,0.067446,normal,dec3df8963a4d63711a334f3127c20b841d5b7ee552bbf0904e4ba0af6533665
0X6U3SfcmbuZNodnH9qL,1,val,images/val/class_1/0X6U3SfcmbuZNodnH9qL.png,0.003074,review,e814421dadfeb71cb9ab8a20d87ca6953253b6cd572c000b83b91a10b8e7ef71
0gxJ1YmwFUvnOzoM8N53,2,train,images/train/class_2/0gxJ1YmwFUvnOzoM8N53.png,0.004178,normal,a09f6aca081f84f2cd6f5339b996a9319bca65c574295ebd5fa24c72370067c0
0hWRb28Umdgj7xcXOwtC,3,test,images/test/class_3/0hWRb28Umdgj7xcXOwtC.png,0.635756,caution,56e667f948e1ade6092ab8742000e0de55ecf1c960abaa590a70399dc642c95e
0kzRDUmBLHGd4YPj7hO6,3,test,images/test/class_3/0kzRDUmBLHGd4YPj7hO6.png,0.637937,caution,69535c586bc2980d981560d8b7a0048ba2399a749afb436f62d46808879611e8
0qjuDC7Rhx9rHkLlItAp,5,train,images/train/class_5/0qjuDC7Rhx9rHkLlItAp.png,0.636913,caution,401fa42d4a5c890f79648d3d37fe28e3158d182bb41e1bbeabbfdf064dc97b4d
0uZcAvaHLitbWmC1QMXf,2,val,images/val/class_2/0uZcAvaHLitbWmC1QMXf.png,0.008671,normal,0985112c42fb40d9c716ef5f40a9bfd5e67cd3340872cf61727a777cfe304285
0xfjbVBPYX1pSt4rdWOe,7,train,images/train/class_7/0xfjbVBPYX1pSt4rdWOe.png,0.296714,normal,96964e9aadbbbc8ea47cec9a060388b87588368ea87c49185815a20ace9ca59f
0zr6vIw74DgVSKXiRUY1,8,train,images/train/class_8/0zr6vIw74DgVSKXiRUY1.png,0.070943,normal,a5781d2720ed1f5a793d8fb57fa4a072663b7fa932628201fd09357716d4adeb
12TEseaJ4jnbyORqKxhf,1,train,images/train/class_1/12TEseaJ4jnbyORqKxhf.png,0.125939,normal,17f3954d4bb081c53cfdce13d4a6cd8116741a498431746f611e846c1295e7fc
16gDhwbZTRjLMO9zI5cX,3,train,images/train/class_3/16gDhwbZTRjLMO9zI5cX.png,0.658762,caution,b1c50890ad12c1f448e12fc9f52b17f5076078d0ca820676b7873314bdafea24
17aN50JFZXYrcAk2iCtG,3,train,images/train/class_3/17aN50JFZXYrcAk2iCtG.png,0.635775,caution,26e62a241393470257a214fef65ce00826b448b1fb50ac8c833f0aac9e3259a7
17kCoALmxaXpcNzd5KnE,3,train,images/train/class_3/17kCoALmxaXpcNzd5KnE.png,0.74235,caution,8f05bc6ebfdfb6af1f65da26d124cbb41f4f058dbd63645eefe99efa5980b320
18S9URJgMWqua2TZevsh,7,train,images/train/class_7/18S9URJgMWqua2TZevsh.png,0.992018,review,76de6e79575187c8e2f6600b0960b53323a9d5ed6591f982fe6d34b215239fd1
18te652nLyCi3IrZqMOJ,7,train,images/train/class_7/18te652nLyCi3IrZqMOJ.png,0.99242,review,1137a3b3e62e1723ee5195332bf1b24e308ec4e25fa8d0f34224ede345376159
1ARrSUKCbhWeTFyjp4ix,8,val,images/val/class_8/1ARrSUKCbhWeTFyjp4ix.png,0.067446,normal,da7d10fc4469fe1ff7dcec90b3a93c70b46f471de981f2bbcc04d717c675657b
1AXVt0D9mSU26fL4iFGc,1,train,images/train/class_1/1AXVt0D9mSU26fL4iFGc.png,0.323715,normal,906c4763a9e3bdc8182bdf5abf41a707306e276cb56f14842c9eea8af98412ec
1AhLOsNdHzDPfJrSXmQC,2,test,images/test/class_2/1AhLOsNdHzDPfJrSXmQC.png,0.00469,normal,f41d439ec7af578aaa72f5ce48fd36e445e91b5df5f39a5188d6aad24fac84ef
1CWtrEfORZDj7psmnToA,1,train,images/train/class_1/1CWtrEfORZDj7psmnToA.png,0.011109,review,05a1d0bd002ac557788b19fb0b97f64fd057c60db117ed50bb25e3eeaecdc346
1FAxSngsym35phwROGl0,7,train,images/train/class_7/1FAxSngsym35phwROGl0.png,0.99242,review,3d5abd1b57b34c7e1b784a5c1dad06debf0311f0ae7b875d94a46c37d689ed6d
1FacC02JPfxSdXeD7MEw,4,train,images/train/class_4/1FacC02JPfxSdXeD7MEw.png,0.169922,normal,a7bb9fd3e6626317c8359669c5ff38d6a6b4c911b1b5b99feefdaf3bcb75fdf6
1HFt83wrBnSQu7cP2WZy,9,test,images/test/class_9/1HFt83wrBnSQu7cP2WZy.png,0.001475,normal,d71f466b383d11849526021ee2aa0d29259194d6e7f014cee9d6ab91e94963a9
1IpWLz6eyhVxDAfQMKEd,5,test,images/test/class_5/1IpWLz6eyhVxDAfQMKEd.png,0.653331,caution,fb4d307332c4abac8727744ae3dce0450e613f419be46809fb005d70ad4ad2e0
1JiaRhjycfZb8BpmX4TM,8,test,images/test/class_8/1JiaRhjycfZb8BpmX4TM.png,0.070943,normal,a52ea4545cda22d07399560a65575596cbe797f0962bce06d6f68f5235864b78
1KB3Z7gd5aN4Xmx8W0sf,5,train,images/train/class_5/1KB3Z7gd5aN4Xmx8W0sf.png,0.889622,caution,572dbfadd826b559318ded7e66f0c5d0b5e544b8209c828482c6c4872d6d0392
1KjZ4An78sOytkzgRL0E,7,train,images/train/class_7/1KjZ4An78sOytkzgRL0E.png,0.99242,review,1a3aaa78b39ba5df16a2214d4e91462b0d8b5360b4dcefd4062f28146d995d5e
1OHzGWXBTlpyVsIPK3kj,1,train,images/train/class_1/1OHzGWXBTlpyVsIPK3kj.png,0.107585,normal,de588782d4a25474e4bf520453e07fabd01a43c68ccddf3a3079eaa097678675
1SVleInitNjxByvsFbdm,9,train,images/train/class_9/1SVleInitNjxByvsFbdm.png,0.002456,normal,00db31034d55cd0e81b46fce4ead9b1d1c1388ca72eb68a8ecef45c04b122f18
1TLN456WuaqCsDr9pv0z,2,train,images/train/class_2/1TLN456WuaqCsDr9pv0z.png,0.004761,normal,19426035cbd83078241e48259c9a9b1358e978b9f6b59fc52c527c0254b9cd2b
1Ue6El4YDMXcVmBsqkoF,8,train,images/train/class_8/1Ue6El4YDMXcVmBsqkoF.png,0.070943,normal,d0a3f240da3a12407f3f629ddd1d216faf6a217b554e8898a2f72642627bc80f
1aAwe4J9VHrsq8uEoZhf,1,train,images/train/class_1/1aAwe4J9VHrsq8uEoZhf.png,0.056005,normal,4958a899926c8b6e160ebbd6beca2214a43e51a4a424cfc76977f22680c254f2
